Input,Location,Funds,Payoff Extracted,Remaining Payoff,Total Payoff
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 0)",4.6500949700260454e-40,26.0,1.455039063574632e-19,26
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 1)",4.6500949700260454e-40,25.0,1.2543086383812696e-21,25
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 2)",4.6500949700260454e-40,8.0,4.5220859984207755e-20,8
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 3)",4.6500949700260454e-40,26.0,6.464297462158933e-08,26
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 4)",4.6500949700260454e-40,21.0,3.2385924794358067e-19,21
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 0)",4.6500949700260454e-40,19.0,5.103145619624213e-17,19
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 1)",4.6500949700260454e-40,0,0,0
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 2)",4.6500949700260454e-40,3.0,2.3133331031667955e-20,3
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 3)",4.6500949700260454e-40,18.0,1.3838408019789056e-17,18
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 4)",4.6500949700260454e-40,21.0,2.356428873772854e-14,21
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 0)",4.6500949700260454e-40,6.0,7.855016476981389e-17,6
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 1)",4.6500949700260454e-40,2.0,2.824440567049301e-19,2
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 2)",4.6500949700260454e-40,15.99999999999907,9.315025960966741e-13,16
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 3)",4.6500949700260454e-40,12.0,2.8498825741922073e-16,12
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 4)",4.6500949700260454e-40,20.0,1.1763322222709202e-14,20
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(3, 0)",4.6500949700260454e-40,19.999999935357025,7.00832380539282e-19,20
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(3, 1)",4.6500949700260454e-40,6.0,4.364822785938012e-19,6
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(3, 2)",4.6500949700260454e-40,22.0,2.854073256061549e-18,22
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(3, 3)",4.6500949700260454e-40,4.9999999999944205,5.579586804978793e-12,5
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(3, 4)",4.6500949700260454e-40,8.0,4.251609261025703e-13,8
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(4, 0)",4.6500949700260454e-40,13.0,3.965982022076105e-18,13
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(4, 1)",4.6500949700260454e-40,16.999999999999975,1.5825376038304727e-17,17
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(4, 2)",4.6500949700260454e-40,12.999999999999988,9.904331309023051e-20,13
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(4, 3)",4.6500949700260454e-40,0.9999999999995748,4.688920195676634e-17,1
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(4, 4)",4.6500949700260454e-40,19.0,1.9683313607981544e-22,19
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 0)",4.6500949700260454e-40,21.9999999999996,4.018432397200079e-13,22
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 1)",4.6500949700260454e-40,3.0,6.885423206983756e-18,3
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 2)",4.6500949700260454e-40,15.999999999999998,0,16
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 3)",4.6500949700260454e-40,2.0,1.9886322136246836e-19,2
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(0, 4)",4.6500949700260454e-40,27.0,1.7916274040976707e-20,27
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 0)",4.6500949700260454e-40,19.0,7.869484121884788e-21,19
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 1)",4.6500949700260454e-40,28.0,3.5855581059490576e-16,28
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 2)",4.6500949700260454e-40,22.0,8.700131997399309e-22,22
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 3)",4.6500949700260454e-40,29.999999999999996,0,30
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(1, 4)",4.6500949700260454e-40,25.0,5.586449781273876e-20,25
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 0)",4.6500949700260454e-40,0,1.8419616660203614e-15,0
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 1)",4.6500949700260454e-40,25.0,8.062748407073274e-17,25
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 2)",4.6500949700260454e-40,16.99999999999983,1.7107766052462777e-13,17
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 3)",4.6500949700260454e-40,1.9999999999993612,1.6881957605661407e-19,2
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(2, 4)",4.6500949700260454e-40,9.999999999990628,5.339586146413274e-19,10
"scientistIncentives exploration 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives funding 0","(3, 0)",4.6500949700260454e-40,9.0,3.260621652458914e-22,9
