Input,Location,Funds,Payoff Extracted,Remaining Payoff,Total Payoff
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(0, 0)",4.6500949700260454e-40,7.999999999989833,1.0166551462727607e-11,8
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(0, 1)",4.6500949700260454e-40,23.0,0,23
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(0, 2)",4.6500949700260454e-40,26.9999999999285,2.2924116414947262e-21,27
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(0, 3)",4.6500949700260454e-40,29.99999999970456,4.091440229649551e-11,30
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(0, 4)",4.6500949700260454e-40,17.0,6.661839448674839e-16,17
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(1, 0)",4.6500949700260454e-40,0,3.194885127726011e-20,0
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(1, 1)",4.6500949700260454e-40,4.99999999999971,2.903714956909357e-13,5
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(1, 2)",4.6500949700260454e-40,11.0,1.5493499972613773e-08,11
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(1, 3)",4.6500949700260454e-40,3.999999999986826,3.2408053632884974e-14,4
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(1, 4)",4.6500949700260454e-40,22.0,1.1996698562568615e-08,22
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(2, 0)",4.6500949700260454e-40,22.0,7.14976587780922e-11,22
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(2, 1)",4.6500949700260454e-40,22.9999999845065,2.056359486956593e-17,23
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(2, 2)",4.6500949700260454e-40,7.0,3.4405072554412186e-25,7
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(2, 3)",4.6500949700260454e-40,18.0,6.5663928632360045e-15,18
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(2, 4)",4.6500949700260454e-40,0,6.227003947826414e-14,0
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(3, 0)",4.6500949700260454e-40,10.999999999959085,2.954389139322669e-10,11
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(3, 1)",4.6500949700260454e-40,6.999999999999968,1.317411564025163e-11,7
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(3, 2)",4.6500949700260454e-40,28.999999999999993,3.0698973973097326e-21,29
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(3, 3)",4.6500949700260454e-40,19.99999999999992,8.195419960824949e-14,20
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(3, 4)",4.6500949700260454e-40,22.0,3.602969434052618e-23,22
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(4, 0)",4.6500949700260454e-40,25.0,5.560226039784414e-24,25
"scientistIncentives funding 1, scientistIncentives citation 0, scientistIncentives payoff 0, scientistIncentives exploration 0","(4, 1)",4.6500949700260454e-40,29.999999988003303,2.0971396098715232e-19,30
