Input,ID,Total Funding Accumulated,starFactor,Citation Count
,0,5,-1.0,13
,9,5,-1.375,12
,11,3,-1.5,1
,15,6,-0.7647058823529411,16
,17,2,0.5,4
,20,8,-1.2222222222222223,2
,22,8,-1.1764705882352942,16
,24,9,-0.3333333333333335,12
,26,2,-0.75,4
,28,1,-1.2,6
,25,10,0.0,3
,6,25.69686151730188,-0.15217386849140446,33
,31,5,-1.5333333333333334,10
,5,25.135397088221367,-0.3765527743860222,19
,10,28.90544126953713,-0.38619992936470426,23
,18,30.914482439284996,-0.04222094813860933,30
,35,1,4.0,8
,2,41.554877100949724,-0.02260044523061655,23
,16,26.990218970600917,0.10410212547245479,32
,30,29.70618729002209,-0.4870184037483254,29
,36,2,0.20000000000000018,6
,12,23.16373022616628,0.07911060892740895,29
,14,29.869530658757622,-0.6695760356530882,18
,33,30.230741408286434,-0.48649181778277084,27
,37,1,-0.5833333333333335,16
,43,10,-0.7999999999999998,10
,45,3,-0.25,15
,23,21.210886198994622,-0.031244126298381136,29
,44,1,3.0,9
,46,24.033370967602938,-0.4827908434486621,23
,13,40.89217091503594,0.3129911641969212,32
,48,31.32495131642723,-0.4917171348344862,25
,50,8,0.0,13
,8,31.408240524980044,-0.3869580395123271,26
,49,26.462226250137203,-0.3384190077370923,22
,54,8,3.5,2
,51,9,-0.9166666666666665,12
,29,21.625006794300354,-1.30861422008307,15
,4,15.904017206790424,-1.6907623981682696,10
,32,38.7103042562589,-0.3020591698075532,24
,39,37.2594000257064,-0.2078491712180246,26
,58,5,-1.4545454545454546,8
,60,6,-0.6363636363636362,15
,7,40.702955265234436,-0.4504832035131545,19
,59,10,-0.8181818181818183,1
,63,1,-0.5,5
,65,7,-0.08333333333333348,13
,3,52.615485732281996,0.9449959994807857,23
,62,24.978388950110286,-0.4845674763381176,22
,21,25.672031209473268,-1.1585619539103547,14
,53,29.63574404971568,-0.689105175951394,23
,64,7,-1.0,3
,27,38.88241957297033,-0.7926896096952065,14
,40,42.6375841019664,-0.4021762663891306,15
,73,3,-0.44444444444444464,9
,19,45.75366935557591,0.3120472475007072,22
,42,49.242014023096694,-0.1832358085138588,26
,57,41.34488737819065,0.20514772236128298,29
,68,33.607298737035286,-0.3990114632310595,25
,71,36.91171103559896,-0.035105334853696935,32
,77,7,-0.5,11
,80,4,-0.625,6
,74,22.067792610676296,-0.5139421738491516,23
,81,9,-1.1,3
,55,39.25726527741783,-0.08830921951274595,30
,76,28.99398468682709,-0.5808316062050811,27
,85,10,-0.5,16
,1,57.09703003033462,0.23888872468188627,10
,86,2,1.0,8
,38,42.53535143723965,-0.2773321822827115,23
,47,24.01913330208102,-1.3135509861835857,18
,84,34.211739281707025,0.10360523601898963,31
,89,3,-1.3333333333333333,2
,91,8,-0.7894736842105261,16
,93,5,0.3333333333333335,2
,34,37.639749710239975,-0.9781312011853398,19
,66,35.459075339940306,-0.6947182749207501,15
,70,26.8886872626736,-0.6487507032823991,25
,90,3,2.0,4
,94,2,0.3333333333333335,5
,96,2,-0.6666666666666665,8
,98,8,6.5,3
,101,9,-0.2142857142857144,14
,95,6,-0.7272727272727271,4
,99,8,5.0,6
,102,6,-1.2,1
,105,6,4.666666666666667,9
,69,18.588392640332117,-1.4326223992210323,18
,97,3,0.3333333333333335,9
,106,8,1.0,3
,41,38.58774212391739,-1.388967674575181,4
,110,1,-0.6000000000000001,4
