Input,Location,Funds,Payoff Extracted
scientistIncentives citation 1,"(0, 0)",203.53458844883258,25.751561445550216
scientistIncentives citation 1,"(0, 1)",185.92807924352235,5.721544837116844
scientistIncentives citation 1,"(0, 2)",185.14297884553355,0
scientistIncentives citation 1,"(0, 3)",188.85278944133043,12.993085819965385
scientistIncentives citation 1,"(0, 4)",191.6266832692938,0
scientistIncentives citation 1,"(1, 0)",198.06392420332773,11.76978805933251
scientistIncentives citation 1,"(1, 1)",186.75038330064717,0
scientistIncentives citation 1,"(1, 2)",199.7535786963145,29.96558314212661
scientistIncentives citation 1,"(1, 3)",195.38141646196306,2.4132667873716187
scientistIncentives citation 1,"(1, 4)",175.8235378966622,0
scientistIncentives citation 1,"(2, 0)",196.9532457655361,1.5829607472098068
scientistIncentives citation 1,"(2, 1)",200.21952361879514,1.9508938880620406
scientistIncentives citation 1,"(2, 2)",202.460831144089,0
scientistIncentives citation 1,"(2, 3)",220.2213209161177,0
scientistIncentives citation 1,"(2, 4)",190.11127040545273,0
scientistIncentives citation 1,"(3, 0)",220.23164121272993,9.272242241039688
scientistIncentives citation 1,"(3, 1)",199.36057490132038,0
scientistIncentives citation 1,"(3, 2)",198.06132564403327,17.999999946645207
scientistIncentives citation 1,"(3, 3)",214.29348722401267,21.0
scientistIncentives citation 1,"(3, 4)",190.46181304737456,0
scientistIncentives citation 1,"(4, 0)",234.50886309537552,18.297730620732786
scientistIncentives citation 1,"(4, 1)",214.5668155815418,0
scientistIncentives citation 1,"(4, 2)",191.77901793639765,13.595264550157026
scientistIncentives citation 1,"(4, 3)",184.73707091073248,0
scientistIncentives citation 1,"(4, 4)",231.1752387890639,0
scientistIncentives citation 1,"(0, 0)",223.46079696970156,5.904529434225103
scientistIncentives citation 1,"(0, 1)",212.04317365788972,5.016279967538832
scientistIncentives citation 1,"(0, 2)",208.34586526609152,0
scientistIncentives citation 1,"(0, 3)",189.14244242828286,0
scientistIncentives citation 1,"(0, 4)",212.3182650320828,17.256637253979026
scientistIncentives citation 1,"(1, 0)",184.56908454664955,1.6872551950057235
scientistIncentives citation 1,"(1, 1)",196.9125943225002,0
scientistIncentives citation 1,"(1, 2)",184.62174230489342,0
scientistIncentives citation 1,"(1, 3)",186.01009291269898,0
scientistIncentives citation 1,"(1, 4)",206.5371127222035,0
scientistIncentives citation 1,"(2, 0)",183.44808709579576,3.0277050576241415
scientistIncentives citation 1,"(2, 1)",204.57735174333018,0
scientistIncentives citation 1,"(2, 2)",204.77111125594118,2.732868173810951
scientistIncentives citation 1,"(2, 3)",214.1402172804569,17.40215904750238
scientistIncentives citation 1,"(2, 4)",229.70105207151587,23.0
scientistIncentives citation 1,"(3, 0)",219.738087830818,1.4903941105454486
scientistIncentives citation 1,"(3, 1)",168.12585812145514,6.896830020406914
scientistIncentives citation 1,"(3, 2)",182.79825637485817,12.297480704890544
scientistIncentives citation 1,"(3, 3)",185.76240719001663,0
scientistIncentives citation 1,"(3, 4)",204.16032874604326,12.523672345643574
scientistIncentives citation 1,"(4, 0)",209.0020460125296,0
scientistIncentives citation 1,"(4, 1)",211.53281620304278,0
scientistIncentives citation 1,"(4, 2)",190.59241651882706,10.604615810879823
scientistIncentives citation 1,"(4, 3)",192.2773349796146,0
scientistIncentives citation 1,"(4, 4)",195.41145841276088,9.437099299500328
scientistIncentives citation 1,"(0, 0)",204.79449286628204,18.52395557070328
scientistIncentives citation 1,"(0, 1)",223.71309503960046,0
scientistIncentives citation 1,"(0, 2)",177.45979824411904,15.030204222916186
scientistIncentives citation 1,"(0, 3)",211.42383150845268,0
scientistIncentives citation 1,"(0, 4)",184.82709486924463,2.960086824497079
scientistIncentives citation 1,"(1, 0)",195.0083015736582,0
scientistIncentives citation 1,"(1, 1)",202.7223417919049,0
