Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives citation 1,1,8,-0.27272727272727293,14
scientistIncentives citation 1,3,3,3.333333333333333,7
scientistIncentives citation 1,5,2,-0.5,2
scientistIncentives citation 1,8,2,-1.8333333333333333,3
scientistIncentives citation 1,10,5,-0.6666666666666665,11
scientistIncentives citation 1,11,1,-2.0,2
scientistIncentives citation 1,12,4,-0.4615384615384617,13
scientistIncentives citation 1,13,1,5.0,3
scientistIncentives citation 1,14,8,1.5999999999999996,7
scientistIncentives citation 1,16,9,-0.10000000000000009,9
scientistIncentives citation 1,17,3,-1.0,7
scientistIncentives citation 1,19,6,-0.9285714285714284,11
scientistIncentives citation 1,21,1,-0.5555555555555554,11
scientistIncentives citation 1,23,0,-1.875,4
scientistIncentives citation 1,26,7,5.5,8
scientistIncentives citation 1,15,27.890365395978364,-0.09902063200506195,30
scientistIncentives citation 1,32,10,-1.6666666666666667,2
scientistIncentives citation 1,33,7,-1.375,8
scientistIncentives citation 1,29,32.000698705872715,-0.548342914865724,22
scientistIncentives citation 1,22,19.56404680940878,-0.1752867480036433,38
scientistIncentives citation 1,34,32.56334810353606,0.2762370356302304,39
scientistIncentives citation 1,38,3,-0.75,12
scientistIncentives citation 1,39,9,-0.11111111111111116,10
scientistIncentives citation 1,7,9.931241534008596,0.10003062964503551,29
scientistIncentives citation 1,40,6,1.5,7
scientistIncentives citation 1,41,6,-1.2666666666666666,9
scientistIncentives citation 1,18,29.669557458414797,0.02931788397158508,38
scientistIncentives citation 1,44,6,7.0,1
scientistIncentives citation 1,28,9.10461633393077,-0.16085463858930638,37
scientistIncentives citation 1,30,9.679949039752124,-0.3199905562401053,39
scientistIncentives citation 1,24,9.104915279746937,0.17103830744816007,44
scientistIncentives citation 1,47,8,-0.8333333333333335,3
scientistIncentives citation 1,49,8,-0.7999999999999998,14
scientistIncentives citation 1,50,1,-0.5,4
scientistIncentives citation 1,27,15.106381218195054,-0.6094715499797854,37
scientistIncentives citation 1,52,10,-0.5333333333333332,8
scientistIncentives citation 1,54,10,-0.8333333333333335,11
scientistIncentives citation 1,55,10,-1.3333333333333333,6
scientistIncentives citation 1,0,29.105322332105423,0.43202524355094196,45
scientistIncentives citation 1,6,17.998164458740757,0.057499885376311344,45
scientistIncentives citation 1,37,17.54433862640905,-0.46631165721261114,38
scientistIncentives citation 1,48,26.00347015607089,-0.4515009627073905,22
scientistIncentives citation 1,46,9.000697550142794,-1.9999501749898003,3
scientistIncentives citation 1,58,4,18.0,11
scientistIncentives citation 1,2,9.77149937996658,-0.4463473856370972,42
scientistIncentives citation 1,42,11.003643327412023,-1.1289147313738057,28
scientistIncentives citation 1,60,6,-1.0,13
scientistIncentives citation 1,25,9.613962568280597,-0.8246303926835261,24
scientistIncentives citation 1,61,5,-1.1818181818181819,6
scientistIncentives citation 1,35,9.107909083676246,-0.6621704548468088,35
scientistIncentives citation 1,36,9.544842125166609,-0.9382063149933355,29
