Input,Location,Funds,Payoff Extracted
scientistIncentives exploration 1,"(0, 0)",196.07623523293165,14.0
scientistIncentives exploration 1,"(0, 1)",216.78333474361636,28.0
scientistIncentives exploration 1,"(0, 2)",203.98314490478123,3.0
scientistIncentives exploration 1,"(0, 3)",169.75339473297328,16.0
scientistIncentives exploration 1,"(0, 4)",189.60948937961376,4.0
scientistIncentives exploration 1,"(1, 0)",192.76105071443345,6.0
scientistIncentives exploration 1,"(1, 1)",201.5239596917935,13.0
scientistIncentives exploration 1,"(1, 2)",243.0621219205659,19.999999999995826
scientistIncentives exploration 1,"(1, 3)",202.38421370076296,25.999999999999822
scientistIncentives exploration 1,"(1, 4)",197.20915151047086,20.0
scientistIncentives exploration 1,"(2, 0)",200.22037203590244,25.0
scientistIncentives exploration 1,"(2, 1)",208.20479003261735,17.0
scientistIncentives exploration 1,"(2, 2)",189.19120379752096,16.999999999999968
scientistIncentives exploration 1,"(2, 3)",186.83707025284977,27.0
scientistIncentives exploration 1,"(2, 4)",198.04372498485617,6.0
scientistIncentives exploration 1,"(3, 0)",225.6839121037806,8.0
scientistIncentives exploration 1,"(3, 1)",195.7337926082828,0.9999999999999952
scientistIncentives exploration 1,"(3, 2)",197.8408112406096,8.999999999999996
scientistIncentives exploration 1,"(3, 3)",188.02373169557507,30.0
scientistIncentives exploration 1,"(3, 4)",190.93725399544223,0
scientistIncentives exploration 1,"(4, 0)",169.27264462309887,23.0
scientistIncentives exploration 1,"(4, 1)",197.62723266879507,1.9999999999999767
scientistIncentives exploration 1,"(4, 2)",190.60775999894585,14.999999999999998
scientistIncentives exploration 1,"(4, 3)",226.71300479992462,0
scientistIncentives exploration 1,"(4, 4)",221.9165986298559,25.0
scientistIncentives exploration 1,"(0, 0)",199.65073799250126,22.0
scientistIncentives exploration 1,"(0, 1)",169.8937727011637,16.0
scientistIncentives exploration 1,"(0, 2)",213.47362817212257,2.999999999999994
scientistIncentives exploration 1,"(0, 3)",185.63686385768779,9.999999999999986
scientistIncentives exploration 1,"(0, 4)",217.71256754312395,24.999999999997943
scientistIncentives exploration 1,"(1, 0)",205.8521782709303,25.0
scientistIncentives exploration 1,"(1, 1)",198.06584077598947,27.0
scientistIncentives exploration 1,"(1, 2)",202.57621679268976,23.0
scientistIncentives exploration 1,"(1, 3)",188.98763243246742,5.999999999990252
scientistIncentives exploration 1,"(1, 4)",194.57571663544408,26.0
scientistIncentives exploration 1,"(2, 0)",196.01674267008931,27.0
scientistIncentives exploration 1,"(2, 1)",184.00988314896105,28.0
scientistIncentives exploration 1,"(2, 2)",203.24692216358886,26.0
scientistIncentives exploration 1,"(2, 3)",194.53327718573826,22.0
scientistIncentives exploration 1,"(2, 4)",202.69322514718627,21.0
scientistIncentives exploration 1,"(3, 0)",203.42685240922424,0
scientistIncentives exploration 1,"(3, 1)",168.63255323440137,24.0
scientistIncentives exploration 1,"(3, 2)",177.22709562376613,17.0
scientistIncentives exploration 1,"(3, 3)",202.66830132133651,0
scientistIncentives exploration 1,"(3, 4)",223.98298752126937,16.0
scientistIncentives exploration 1,"(4, 0)",224.84958741939994,23.0
scientistIncentives exploration 1,"(4, 1)",191.0216279117717,27.999999990367083
scientistIncentives exploration 1,"(4, 2)",228.9647974884082,29.0
scientistIncentives exploration 1,"(4, 3)",215.81643523422895,5.0
scientistIncentives exploration 1,"(4, 4)",206.48455634650904,2.0
scientistIncentives exploration 1,"(0, 0)",171.6684701441189,10.0
scientistIncentives exploration 1,"(0, 1)",217.70901910232683,22.0
scientistIncentives exploration 1,"(0, 2)",204.3849091242542,14.999999999999334
scientistIncentives exploration 1,"(0, 3)",174.3420390030001,2.0
scientistIncentives exploration 1,"(0, 4)",213.50791332317476,8.0
scientistIncentives exploration 1,"(1, 0)",185.83503311831268,14.0
scientistIncentives exploration 1,"(1, 1)",187.28290134734985,0
scientistIncentives exploration 1,"(1, 2)",239.2111218351889,11.0
scientistIncentives exploration 1,"(1, 3)",196.37451395435255,9.999999999999988
scientistIncentives exploration 1,"(1, 4)",175.97648311697512,1.9999999999999993
scientistIncentives exploration 1,"(2, 0)",177.51310314025952,11.0
scientistIncentives exploration 1,"(2, 1)",219.83167446094544,15.99999999999999
scientistIncentives exploration 1,"(2, 2)",227.10743537841597,24.0
scientistIncentives exploration 1,"(2, 3)",224.37759200342538,25.999999999999897
scientistIncentives exploration 1,"(2, 4)",206.5079159669723,10.0
scientistIncentives exploration 1,"(3, 0)",205.4387017897921,8.0
scientistIncentives exploration 1,"(3, 1)",195.71111333631646,23.0
scientistIncentives exploration 1,"(3, 2)",179.70586630591185,14.0
scientistIncentives exploration 1,"(3, 3)",183.75445035369074,9.99999999999997
scientistIncentives exploration 1,"(3, 4)",210.59150346750874,20.999999999999698
scientistIncentives exploration 1,"(4, 0)",190.8708274538047,19.0
scientistIncentives exploration 1,"(4, 1)",177.41967228249118,26.0
scientistIncentives exploration 1,"(4, 2)",187.69751110528563,9.0
scientistIncentives exploration 1,"(4, 3)",215.91660788739404,18.999999999999957
scientistIncentives exploration 1,"(4, 4)",231.263620998732,23.99999999999999
scientistIncentives exploration 1,"(0, 0)",184.811430378101,17.0
scientistIncentives exploration 1,"(0, 1)",201.88932850335152,16.0
scientistIncentives exploration 1,"(0, 2)",225.65271957290352,27.99999999999995
scientistIncentives exploration 1,"(0, 3)",228.47724838558003,19.0
scientistIncentives exploration 1,"(0, 4)",222.720382169027,20.0
scientistIncentives exploration 1,"(1, 0)",197.46893230210043,30.0
scientistIncentives exploration 1,"(1, 1)",213.3154740736535,17.0
scientistIncentives exploration 1,"(1, 2)",206.18121607053575,29.99999999999911
scientistIncentives exploration 1,"(1, 3)",190.85211704280067,26.0
scientistIncentives exploration 1,"(1, 4)",217.25028366391143,1.0
scientistIncentives exploration 1,"(2, 0)",177.00263905422136,10.999999999999998
scientistIncentives exploration 1,"(2, 1)",196.84215347514598,29.0
scientistIncentives exploration 1,"(2, 2)",200.46358305763928,21.0
scientistIncentives exploration 1,"(2, 3)",203.58373292779055,2.9999999999999996
scientistIncentives exploration 1,"(2, 4)",209.34948045774283,21.0
scientistIncentives exploration 1,"(3, 0)",183.92368825626227,28.0
scientistIncentives exploration 1,"(3, 1)",221.749828669903,10.999999999999995
scientistIncentives exploration 1,"(3, 2)",184.6053361908065,0
scientistIncentives exploration 1,"(3, 3)",209.53044239211107,8.0
scientistIncentives exploration 1,"(3, 4)",186.07416970960318,13.0
scientistIncentives exploration 1,"(4, 0)",201.57426668805334,15.0
