Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives exploration 1,2,6,-1.25,3
scientistIncentives exploration 1,3,2,3.5,5
scientistIncentives exploration 1,5,10,0.11111111111111116,11
scientistIncentives exploration 1,15,0,-2.0,1
scientistIncentives exploration 1,18,5,10.0,3
scientistIncentives exploration 1,21,9,-0.42105263157894735,22
scientistIncentives exploration 1,22,8,4.333333333333333,7
scientistIncentives exploration 1,20,25.020068939070427,-0.4850497932367639,23
scientistIncentives exploration 1,25,4,0.3999999999999999,9
scientistIncentives exploration 1,26,9,-1.1578947368421053,12
scientistIncentives exploration 1,19,36.382512970424386,0.24909144888564105,31
scientistIncentives exploration 1,27,8,0.3333333333333335,10
scientistIncentives exploration 1,11,27.609701129493835,-0.1195019924979599,31
scientistIncentives exploration 1,30,8,-1.0666666666666667,13
scientistIncentives exploration 1,0,52.70000492208583,0.7674953531882851,19
scientistIncentives exploration 1,4,41.730415807607685,0.507327219490231,19
scientistIncentives exploration 1,32,0,-1.2222222222222223,8
scientistIncentives exploration 1,17,37.54029956733665,0.31102846589583866,24
scientistIncentives exploration 1,33,1,-1.25,2
scientistIncentives exploration 1,13,43.05638166380616,0.1304920933697309,20
scientistIncentives exploration 1,37,3,0.0,2
scientistIncentives exploration 1,31,25.033285392482043,-0.27116131134645594,33
scientistIncentives exploration 1,39,10,15.0,4
scientistIncentives exploration 1,42,1,2.0,7
scientistIncentives exploration 1,16,54.56653471046478,0.6927127030570004,19
scientistIncentives exploration 1,43,6,0.0,13
scientistIncentives exploration 1,23,54.182279423930936,0.8071083039243283,18
scientistIncentives exploration 1,44,3,-0.3333333333333335,3
scientistIncentives exploration 1,10,68.45458919448129,2.4317059488974637,37
scientistIncentives exploration 1,36,39.23847357573711,0.06231309624866466,27
scientistIncentives exploration 1,45,10,-0.38095238095238093,22
scientistIncentives exploration 1,47,1,-0.7777777777777777,9
scientistIncentives exploration 1,48,3,-2.0,3
scientistIncentives exploration 1,50,6,-1.75,8
scientistIncentives exploration 1,51,1,-0.75,7
scientistIncentives exploration 1,7,65.41599597302412,0.8086805226944955,32
scientistIncentives exploration 1,53,10,0.125,12
scientistIncentives exploration 1,46,32.64603011346708,-0.17214218739449683,28
scientistIncentives exploration 1,54,7,1.5,5
scientistIncentives exploration 1,29,45.74256927519863,0.23379623498166513,19
scientistIncentives exploration 1,6,60.14550628860194,0.9329498331819428,20
scientistIncentives exploration 1,55,10,-1.2727272727272727,3
scientistIncentives exploration 1,8,58.15267879794608,0.7242775810605209,15
scientistIncentives exploration 1,49,47.83751201965565,0.09219325040105852,28
scientistIncentives exploration 1,12,121.51511538893129,2.9891977389675137,16
scientistIncentives exploration 1,58,1,-2.125,2
scientistIncentives exploration 1,61,4,0.125,12
scientistIncentives exploration 1,62,9,-0.7333333333333334,11
scientistIncentives exploration 1,63,8,-1.125,10
scientistIncentives exploration 1,66,10,18.0,5
scientistIncentives exploration 1,67,4,-0.5454545454545454,9
scientistIncentives exploration 1,52,37.385783812638714,-0.1165761973109074,23
scientistIncentives exploration 1,68,2,0.5,4
scientistIncentives exploration 1,34,50.09303475015681,-0.2745541409729553,16
scientistIncentives exploration 1,71,7,-1.8125,6
scientistIncentives exploration 1,24,130.78708227376455,2.4815575005439037,13
scientistIncentives exploration 1,38,63.46911409722489,0.20904436490806821,16
scientistIncentives exploration 1,73,1,-1.375,4
scientistIncentives exploration 1,75,10,-0.5238095238095237,17
scientistIncentives exploration 1,76,5,-0.5,4
scientistIncentives exploration 1,14,109.50908446605642,1.4891880800387867,12
