Input,Location,Funds,Payoff Extracted
scientistIncentives funding 1,"(0, 0)",173.41549165163468,9.999999999999998
scientistIncentives funding 1,"(0, 1)",212.08013448344107,18.0
scientistIncentives funding 1,"(0, 2)",188.8540933182095,10.999999997953585
scientistIncentives funding 1,"(0, 3)",210.27507227233772,23.0
scientistIncentives funding 1,"(0, 4)",225.39375557818306,16.0
scientistIncentives funding 1,"(1, 0)",222.13464604056256,12.0
scientistIncentives funding 1,"(1, 1)",197.3549125811742,6.0
scientistIncentives funding 1,"(1, 2)",208.2800247937512,22.0
scientistIncentives funding 1,"(1, 3)",185.5877947546644,0
scientistIncentives funding 1,"(1, 4)",207.16221717085432,19.0
scientistIncentives funding 1,"(2, 0)",192.38578996910508,10.0
scientistIncentives funding 1,"(2, 1)",182.75043677599785,11.0
scientistIncentives funding 1,"(2, 2)",186.99583888615422,1.9999999999999918
scientistIncentives funding 1,"(2, 3)",209.22062339807712,14.0
scientistIncentives funding 1,"(2, 4)",196.66588874765114,21.99999999999998
scientistIncentives funding 1,"(3, 0)",208.19431655959067,6.999999999999999
scientistIncentives funding 1,"(3, 1)",197.80054531477145,1.999999999998267
scientistIncentives funding 1,"(3, 2)",200.16547805468454,0
scientistIncentives funding 1,"(3, 3)",182.9357954290471,14.999999999993575
scientistIncentives funding 1,"(3, 4)",208.31697805274518,30.0
scientistIncentives funding 1,"(4, 0)",200.6176860553917,4.0
scientistIncentives funding 1,"(4, 1)",194.44331631729239,19.999999999998565
scientistIncentives funding 1,"(4, 2)",198.78079515717207,19.0
scientistIncentives funding 1,"(4, 3)",225.5820335973057,29.0
scientistIncentives funding 1,"(4, 4)",184.6063350402012,15.999999999998732
scientistIncentives funding 1,"(0, 0)",193.09590918629087,14.0
scientistIncentives funding 1,"(0, 1)",158.06607918858526,0
scientistIncentives funding 1,"(0, 2)",196.50328504025856,17.999999999345334
scientistIncentives funding 1,"(0, 3)",210.96215191717604,23.999999999993843
scientistIncentives funding 1,"(0, 4)",226.77014978527185,11.0
scientistIncentives funding 1,"(1, 0)",201.97680328932552,14.0
scientistIncentives funding 1,"(1, 1)",199.2780087070706,21.0
scientistIncentives funding 1,"(1, 2)",209.60798633662407,1.0
scientistIncentives funding 1,"(1, 3)",189.10680755967402,17.0
scientistIncentives funding 1,"(1, 4)",188.33998574756902,28.99999999999999
scientistIncentives funding 1,"(2, 0)",174.55377005248963,13.999999994091333
scientistIncentives funding 1,"(2, 1)",211.7150747052332,18.0
scientistIncentives funding 1,"(2, 2)",203.08471674952253,9.0
scientistIncentives funding 1,"(2, 3)",179.72179311947394,10.0
scientistIncentives funding 1,"(2, 4)",168.40999767125604,18.0
scientistIncentives funding 1,"(3, 0)",242.53974156741052,22.0
scientistIncentives funding 1,"(3, 1)",190.89806499472948,17.999999999991726
scientistIncentives funding 1,"(3, 2)",207.31220258870275,25.0
scientistIncentives funding 1,"(3, 3)",209.09559022392617,11.999999999997788
scientistIncentives funding 1,"(3, 4)",191.24887524586555,19.0
scientistIncentives funding 1,"(4, 0)",205.97423788174916,25.0
scientistIncentives funding 1,"(4, 1)",218.66396792537222,16.0
scientistIncentives funding 1,"(4, 2)",225.00062442746625,3.0
scientistIncentives funding 1,"(4, 3)",192.7501387352393,0
scientistIncentives funding 1,"(4, 4)",205.3240373537175,28.0
scientistIncentives funding 1,"(0, 0)",204.90550083615244,27.0
scientistIncentives funding 1,"(0, 1)",171.65763094040295,26.999999998862222
scientistIncentives funding 1,"(0, 2)",205.58239484592153,8.0
scientistIncentives funding 1,"(0, 3)",178.83258012823106,6.999999997541982
scientistIncentives funding 1,"(0, 4)",169.56545284828158,0.9999999981942014
scientistIncentives funding 1,"(1, 0)",208.88822922694905,12.0
scientistIncentives funding 1,"(1, 1)",198.86090114988394,5.0
scientistIncentives funding 1,"(1, 2)",206.46048876214792,0
scientistIncentives funding 1,"(1, 3)",199.77355062077595,10.0
scientistIncentives funding 1,"(1, 4)",191.95979348343272,0.9999999999932995
scientistIncentives funding 1,"(2, 0)",193.74433340532826,23.99999999999993
scientistIncentives funding 1,"(2, 1)",209.4689670838812,9.0
scientistIncentives funding 1,"(2, 2)",202.2546049514161,29.0
scientistIncentives funding 1,"(2, 3)",221.1699266482044,24.0
scientistIncentives funding 1,"(2, 4)",171.97775726531938,4.0
scientistIncentives funding 1,"(3, 0)",208.20372881420457,30.0
scientistIncentives funding 1,"(3, 1)",211.38005073501847,23.999999999999996
scientistIncentives funding 1,"(3, 2)",200.34166662914197,6.0
scientistIncentives funding 1,"(3, 3)",198.6031190721188,2.999999999999979
scientistIncentives funding 1,"(3, 4)",215.4359668281966,20.99999999999953
scientistIncentives funding 1,"(4, 0)",204.76753496604363,3.0
scientistIncentives funding 1,"(4, 1)",229.9013868121838,10.0
scientistIncentives funding 1,"(4, 2)",205.28513498833098,28.999999999999996
scientistIncentives funding 1,"(4, 3)",204.56755880614318,10.0
scientistIncentives funding 1,"(4, 4)",186.4117401522892,8.999999999999998
scientistIncentives funding 1,"(0, 0)",202.37726349398739,0.9999999999999981
scientistIncentives funding 1,"(0, 1)",213.53892103046965,10.0
scientistIncentives funding 1,"(0, 2)",198.2494544438188,28.0
scientistIncentives funding 1,"(0, 3)",180.76063358087578,5.999999999999056
scientistIncentives funding 1,"(0, 4)",235.18987333348795,29.0
scientistIncentives funding 1,"(1, 0)",201.1204097544805,1.0
scientistIncentives funding 1,"(1, 1)",186.20385417070338,19.0
scientistIncentives funding 1,"(1, 2)",194.08872244786994,15.0
scientistIncentives funding 1,"(1, 3)",204.68687682794553,0
scientistIncentives funding 1,"(1, 4)",187.76983480100026,14.999999999999996
scientistIncentives funding 1,"(2, 0)",186.25806569833074,17.0
scientistIncentives funding 1,"(2, 1)",200.01923242301598,4.9999999999997256
scientistIncentives funding 1,"(2, 2)",219.09433641484364,4.999999999999988
scientistIncentives funding 1,"(2, 3)",189.97447475746915,6.999999999999997
scientistIncentives funding 1,"(2, 4)",210.76316750675443,6.0
scientistIncentives funding 1,"(3, 0)",182.61455855964977,13.999999999988585
scientistIncentives funding 1,"(3, 1)",182.33796322689804,20.99999999999356
scientistIncentives funding 1,"(3, 2)",204.2522062813402,12.999999999999881
scientistIncentives funding 1,"(3, 3)",218.42671229435192,5.0
scientistIncentives funding 1,"(3, 4)",209.7156302846821,0
scientistIncentives funding 1,"(4, 0)",197.87573442413935,0
scientistIncentives funding 1,"(4, 1)",190.77640853433482,12.0
scientistIncentives funding 1,"(4, 2)",173.1109982681854,6.999999997101923
scientistIncentives funding 1,"(4, 3)",219.83088810966126,22.999999999999737
scientistIncentives funding 1,"(4, 4)",210.9637793317041,16.0
scientistIncentives funding 1,"(0, 0)",208.22008771817926,5.999999999999972
scientistIncentives funding 1,"(0, 1)",247.46320771722114,0
scientistIncentives funding 1,"(0, 2)",167.35757265108876,26.999999996792454
scientistIncentives funding 1,"(0, 3)",203.0296896242695,10.0
scientistIncentives funding 1,"(0, 4)",203.1488575187058,22.0
scientistIncentives funding 1,"(1, 0)",227.574349452156,11.0
scientistIncentives funding 1,"(1, 1)",186.65614139497148,0
scientistIncentives funding 1,"(1, 2)",170.9677327057897,17.999999999972406
scientistIncentives funding 1,"(1, 3)",204.35504395664287,1.0
scientistIncentives funding 1,"(1, 4)",197.35392099091828,10.0
scientistIncentives funding 1,"(2, 0)",199.97081902558804,6.999999999899153
scientistIncentives funding 1,"(2, 1)",191.4542759817559,26.0
scientistIncentives funding 1,"(2, 2)",182.05967929293024,28.0
scientistIncentives funding 1,"(2, 3)",202.51545532814347,21.999999999999996
scientistIncentives funding 1,"(2, 4)",195.42647845315324,6.0
scientistIncentives funding 1,"(3, 0)",173.7065788916296,3.9999999998882885
scientistIncentives funding 1,"(3, 1)",213.42482640015226,16.0
scientistIncentives funding 1,"(3, 2)",200.65282826270058,30.0
scientistIncentives funding 1,"(3, 3)",199.36704065547832,28.99999999858206
scientistIncentives funding 1,"(3, 4)",207.01328533005966,20.0
scientistIncentives funding 1,"(4, 0)",202.65300483970242,11.999999999896014
scientistIncentives funding 1,"(4, 1)",177.56437614596828,4.999999999316659
scientistIncentives funding 1,"(4, 2)",201.56348118360438,0
scientistIncentives funding 1,"(4, 3)",226.32080367686044,26.0
scientistIncentives funding 1,"(4, 4)",210.18046280233057,6.0
scientistIncentives funding 1,"(0, 0)",173.9884352841774,29.999999999999922
scientistIncentives funding 1,"(0, 1)",206.10292172302985,4.999999999999945
scientistIncentives funding 1,"(0, 2)",181.97350280745033,1.0
scientistIncentives funding 1,"(0, 3)",178.16422777792417,10.999999999999012
scientistIncentives funding 1,"(0, 4)",160.81840380371844,6.999999999504717
scientistIncentives funding 1,"(1, 0)",185.42862970858914,5.999999701233935
scientistIncentives funding 1,"(1, 1)",224.85559149711315,22.0
scientistIncentives funding 1,"(1, 2)",206.37797085148492,12.999999999804453
scientistIncentives funding 1,"(1, 3)",190.7361693439846,1.999999999999998
scientistIncentives funding 1,"(1, 4)",209.94955610394274,1.0
scientistIncentives funding 1,"(2, 0)",211.43678603447387,27.999999999999996
scientistIncentives funding 1,"(2, 1)",195.91920984124997,0
scientistIncentives funding 1,"(2, 2)",186.56460669839947,23.999999999973145
scientistIncentives funding 1,"(2, 3)",184.3263604260486,5.999999999999483
scientistIncentives funding 1,"(2, 4)",207.6425443540624,1.0
scientistIncentives funding 1,"(3, 0)",210.08693938387097,22.0
scientistIncentives funding 1,"(3, 1)",207.1618850129124,6.99999999999059
scientistIncentives funding 1,"(3, 2)",212.04097111420566,11.0
scientistIncentives funding 1,"(3, 3)",188.4440387969862,24.0
scientistIncentives funding 1,"(3, 4)",186.8706787289911,16.0
scientistIncentives funding 1,"(4, 0)",237.5093382380135,7.0
scientistIncentives funding 1,"(4, 1)",198.26688096946577,18.0
scientistIncentives funding 1,"(4, 2)",222.1144427176798,0
scientistIncentives funding 1,"(4, 3)",233.16203592820955,17.0
scientistIncentives funding 1,"(4, 4)",200.05787285401576,11.0
