Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives funding 1,0,4,2.0,4
scientistIncentives funding 1,1,3,-2.2727272727272725,4
scientistIncentives funding 1,3,0,-0.7999999999999998,14
scientistIncentives funding 1,4,4,1.0,7
scientistIncentives funding 1,5,4,-1.8666666666666667,7
scientistIncentives funding 1,7,1,-0.6000000000000001,9
scientistIncentives funding 1,11,5,-0.16666666666666652,7
scientistIncentives funding 1,13,4,-0.6363636363636362,9
scientistIncentives funding 1,15,6,-0.7058823529411766,13
scientistIncentives funding 1,16,3,8.0,2
scientistIncentives funding 1,19,1,-0.3333333333333335,5
scientistIncentives funding 1,20,9,-0.8571428571428572,4
scientistIncentives funding 1,22,3,7.0,6
scientistIncentives funding 1,23,9,-1.5,10
scientistIncentives funding 1,25,6,1.25,8
scientistIncentives funding 1,26,6,4.666666666666667,8
scientistIncentives funding 1,28,5,-1.0,1
scientistIncentives funding 1,18,26.56792654958845,-0.3676649110645247,30
scientistIncentives funding 1,30,5,0.20000000000000018,3
scientistIncentives funding 1,32,10,0.5714285714285716,4
scientistIncentives funding 1,8,52.99356177100516,0.6618648395717166,21
scientistIncentives funding 1,36,8,16.0,8
scientistIncentives funding 1,34,35.29839756386153,0.14042034760744215,33
scientistIncentives funding 1,10,24.012487329935706,-0.3425319163835234,38
scientistIncentives funding 1,43,1,-1.5714285714285714,6
scientistIncentives funding 1,31,31.34576159980235,-0.4799337900569962,24
scientistIncentives funding 1,44,2,-0.5,4
scientistIncentives funding 1,45,5,-1.625,9
scientistIncentives funding 1,6,54.13311397028382,0.4956480251718487,27
scientistIncentives funding 1,41,44.169519661024204,0.08819108266671716,21
scientistIncentives funding 1,47,7,-1.0,11
scientistIncentives funding 1,39,39.085201574542594,0.18455602700031548,32
scientistIncentives funding 1,49,6,-0.7142857142857144,5
scientistIncentives funding 1,50,9,-0.6000000000000001,2
scientistIncentives funding 1,21,38.55889005859206,0.3989625948624016,31
scientistIncentives funding 1,51,2,-1.0,4
scientistIncentives funding 1,33,48.99345534241113,0.2626730159584554,29
scientistIncentives funding 1,9,38.9366050580455,0.16409328316860883,34
scientistIncentives funding 1,52,8,5.5,5
scientistIncentives funding 1,53,4,0.0,5
scientistIncentives funding 1,54,6,0.16666666666666652,8
scientistIncentives funding 1,55,2,1.25,8
scientistIncentives funding 1,24,52.495627861886895,0.31646547943737335,25
scientistIncentives funding 1,14,73.63532100624788,1.0812602260373776,28
scientistIncentives funding 1,60,7,-0.5833333333333335,8
scientistIncentives funding 1,56,30.567298681783807,-0.3941399618596022,25
scientistIncentives funding 1,62,4,-1.125,3
scientistIncentives funding 1,63,1,0.20000000000000018,9
scientistIncentives funding 1,29,32.93091329894109,-0.23458797914324458,30
scientistIncentives funding 1,66,6,1.0,2
scientistIncentives funding 1,42,39.37695264599983,-0.2237027900459152,22
scientistIncentives funding 1,40,52.66448983257989,0.6104676054556419,34
scientistIncentives funding 1,61,38.48529316322649,0.24815321657020117,33
scientistIncentives funding 1,57,34.53844553125852,-0.49693468286875975,26
scientistIncentives funding 1,37,82.02890204451063,1.6723229326262006,42
scientistIncentives funding 1,2,80.95922553206206,0.9154779383158589,20
scientistIncentives funding 1,67,46.1223623162705,-0.1874357472231183,20
scientistIncentives funding 1,38,59.386747124375724,0.0942603166700855,27
scientistIncentives funding 1,35,62.497067289508415,0.4478968851131637,19
scientistIncentives funding 1,76,6,1.333333333333333,3
scientistIncentives funding 1,17,57.443687525958474,1.0306102089196667,25
scientistIncentives funding 1,27,131.12214535069148,2.960807178247973,26
scientistIncentives funding 1,75,26.100452080118828,-0.4161138807950113,25
scientistIncentives funding 1,48,57.06692235471975,0.06750348455328803,25
scientistIncentives funding 1,70,35.212578120388194,-0.05765829831877678,30
scientistIncentives funding 1,12,69.82413706753036,1.0965999584562116,31
scientistIncentives funding 1,65,45.77930113770873,0.0018970315402024873,33
scientistIncentives funding 1,69,49.02176463826525,0.3581403100220273,29
scientistIncentives funding 1,83,6,-1.0,2
scientistIncentives funding 1,88,6,-0.9375,8
scientistIncentives funding 1,77,23.96354597055543,-0.4196832817817575,34
scientistIncentives funding 1,87,23.457991437708593,-0.2110324910953807,31
scientistIncentives funding 1,46,72.021475945864,0.3810147062329725,22
scientistIncentives funding 1,90,7,-0.6428571428571428,18
scientistIncentives funding 1,58,47.802019871196755,0.026068055421191172,25
scientistIncentives funding 1,59,31.76558441937111,-0.6174897512234176,29
scientistIncentives funding 1,64,57.57092569322517,0.5115326669507758,34
scientistIncentives funding 1,78,37.62432270393536,-0.1411364728740847,29
scientistIncentives funding 1,85,32.02431141526678,-0.3863125317378002,25
scientistIncentives funding 1,96,1,4.0,5
scientistIncentives funding 1,73,56.37592155500936,-0.05238177250477305,20
scientistIncentives funding 1,97,1,-1.5,2
scientistIncentives funding 1,81,26.077335777720936,-0.6104084637618192,32
scientistIncentives funding 1,79,46.575643236094855,0.018632322073713237,25
scientistIncentives funding 1,68,81.33213408244652,0.9462935548626645,31
scientistIncentives funding 1,89,47.46601426077168,-0.11399887026781652,20
scientistIncentives funding 1,103,1,1.0,6
scientistIncentives funding 1,99,22.324419225700495,-0.441147637465249,30
scientistIncentives funding 1,72,89.01106025474864,0.9681038185252362,26
scientistIncentives funding 1,105,4,-0.5384615384615383,11
