Input,Location,Funds,Payoff Extracted
scientistIncentives payoff 1,"(0, 0)",210.0010682985608,20.0
scientistIncentives payoff 1,"(0, 1)",178.393920763433,0
scientistIncentives payoff 1,"(0, 2)",207.69787012754455,0
scientistIncentives payoff 1,"(0, 3)",195.72803225719971,30.0
scientistIncentives payoff 1,"(0, 4)",199.9764203606165,23.0
scientistIncentives payoff 1,"(1, 0)",199.98591129765583,0
scientistIncentives payoff 1,"(1, 1)",194.92468801728515,0
scientistIncentives payoff 1,"(1, 2)",185.98067945089224,0
scientistIncentives payoff 1,"(1, 3)",191.2249349997565,1.9886113221974124
scientistIncentives payoff 1,"(1, 4)",208.88143787357876,0
scientistIncentives payoff 1,"(2, 0)",200.45681027301976,8.999999992450755
scientistIncentives payoff 1,"(2, 1)",177.40938739122248,9.999999999985189
scientistIncentives payoff 1,"(2, 2)",200.61972399864476,0
scientistIncentives payoff 1,"(2, 3)",225.42637648308968,0.6113133885636106
scientistIncentives payoff 1,"(2, 4)",203.07365306533674,4.791306000178835
scientistIncentives payoff 1,"(3, 0)",192.50460267859555,0
scientistIncentives payoff 1,"(3, 1)",218.80059859471612,1.5765188160061037
scientistIncentives payoff 1,"(3, 2)",188.94575021982948,0
scientistIncentives payoff 1,"(3, 3)",210.66488337988716,0
scientistIncentives payoff 1,"(3, 4)",184.49905398417368,0
scientistIncentives payoff 1,"(4, 0)",203.3249228499517,12.475820052033786
scientistIncentives payoff 1,"(4, 1)",194.44886512789049,0
scientistIncentives payoff 1,"(4, 2)",190.218202385564,3.91174187114086
scientistIncentives payoff 1,"(4, 3)",235.41296342390302,4.978292697472142
scientistIncentives payoff 1,"(4, 4)",201.3992426976526,0
scientistIncentives payoff 1,"(0, 0)",234.46925678456319,0
scientistIncentives payoff 1,"(0, 1)",189.67106044384357,0
scientistIncentives payoff 1,"(0, 2)",216.635665224807,2.4883006326935413
scientistIncentives payoff 1,"(0, 3)",210.25136771414478,0
scientistIncentives payoff 1,"(0, 4)",203.49869021765537,0
scientistIncentives payoff 1,"(1, 0)",211.22634400420975,20.0
scientistIncentives payoff 1,"(1, 1)",165.37658790020495,12.0
scientistIncentives payoff 1,"(1, 2)",177.6497034436317,0.41762662401392703
scientistIncentives payoff 1,"(1, 3)",228.4813646081229,2.904761156726128
scientistIncentives payoff 1,"(1, 4)",209.06068123114974,29.0
scientistIncentives payoff 1,"(2, 0)",205.60585733055797,9.999999999999796
scientistIncentives payoff 1,"(2, 1)",176.89487294385887,0
scientistIncentives payoff 1,"(2, 2)",196.9019073048826,0
scientistIncentives payoff 1,"(2, 3)",184.50026177466583,0
scientistIncentives payoff 1,"(2, 4)",184.67129113367292,9.999999999999016
scientistIncentives payoff 1,"(3, 0)",197.60613142245876,0
scientistIncentives payoff 1,"(3, 1)",218.66158732364104,0
scientistIncentives payoff 1,"(3, 2)",175.22094807529925,12.0
scientistIncentives payoff 1,"(3, 3)",203.48181290939402,7.999999846870186
scientistIncentives payoff 1,"(3, 4)",191.18095714750854,4.337814816703576
scientistIncentives payoff 1,"(4, 0)",211.92106647223721,0
scientistIncentives payoff 1,"(4, 1)",202.39862081051845,0
scientistIncentives payoff 1,"(4, 2)",193.98414953229457,0
scientistIncentives payoff 1,"(4, 3)",193.717500718082,15.0
scientistIncentives payoff 1,"(4, 4)",216.932313528595,0
scientistIncentives payoff 1,"(0, 0)",188.27646943025547,21.0
scientistIncentives payoff 1,"(0, 1)",192.0513271007371,0.5193641523224302
scientistIncentives payoff 1,"(0, 2)",201.11814480912506,21.0
scientistIncentives payoff 1,"(0, 3)",208.73582334038312,0.03827038663300175
scientistIncentives payoff 1,"(0, 4)",229.61285600040108,20.0
scientistIncentives payoff 1,"(1, 0)",202.8462111419885,6.246946771842016
scientistIncentives payoff 1,"(1, 1)",215.15480957528484,1.1375829999230611
scientistIncentives payoff 1,"(1, 2)",213.08263299541704,0.038902419322135784
scientistIncentives payoff 1,"(1, 3)",161.87143824844964,0
scientistIncentives payoff 1,"(1, 4)",195.8203355850281,0
scientistIncentives payoff 1,"(2, 0)",185.154650088459,1.9929431790387468
scientistIncentives payoff 1,"(2, 1)",183.7418725001456,0
