Input,Location,Funds,Payoff Extracted
fund total 200,"(0, 0)",96.2654969545536,1.9999999999998999
fund total 200,"(0, 1)",95.81973516973372,11.99999999976652
fund total 200,"(0, 2)",101.0885843297855,6.99999999883557
fund total 200,"(0, 3)",96.75948518146438,27.999999594667734
fund total 200,"(0, 4)",103.05964544521157,19.99999999997743
fund total 200,"(0, 5)",98.35726526535277,24.999999942137855
fund total 200,"(0, 6)",111.18355633501557,11.999999999987615
fund total 200,"(0, 7)",112.56295204243676,7.999999969452502
fund total 200,"(0, 8)",99.11106631892366,1.0
fund total 200,"(0, 9)",85.88476053134491,16.9999999999246
fund total 200,"(1, 0)",95.67820495069304,13.999999999999517
fund total 200,"(1, 1)",88.95619540161272,17.999999367699886
fund total 200,"(1, 2)",113.94312184771638,2.999999999993754
fund total 200,"(1, 3)",103.32586159049585,29.999996703959265
fund total 200,"(1, 4)",94.79920596517127,3.9999999996335003
fund total 200,"(1, 5)",89.92925934143719,4.999999999961566
fund total 200,"(1, 6)",100.06037706911337,3.999999999884286
fund total 200,"(1, 7)",92.71864995975189,15.999999999999606
fund total 200,"(1, 8)",107.49201813934972,5.9999999992709565
fund total 200,"(1, 9)",92.71684238448437,19.99999999992566
fund total 200,"(2, 0)",116.57198681484547,23.99999999752185
fund total 200,"(2, 1)",91.9182627174649,14.999999528836096
fund total 200,"(2, 2)",103.32240200381649,5.999999993047269
fund total 200,"(2, 3)",98.24995876359155,2.9999999999997056
fund total 200,"(2, 4)",107.31414683299262,21.999999234788017
fund total 200,"(2, 5)",92.19998158751254,14.999999999871482
fund total 200,"(2, 6)",91.3657271762069,15.999999999999835
fund total 200,"(2, 7)",87.00245704177931,11.0
fund total 200,"(2, 8)",92.15730428602758,29.999976257650214
fund total 200,"(2, 9)",108.32563534732277,9.99999978277972
fund total 200,"(3, 0)",100.41188895899529,9.999999998471186
fund total 200,"(3, 1)",120.4118981688067,22.999984262378717
fund total 200,"(3, 2)",94.2903308834483,12.999999999978295
fund total 200,"(3, 3)",113.49729714419948,1.9999999999990796
fund total 200,"(3, 4)",77.245910946244,26.999999995018307
fund total 200,"(3, 5)",102.62257260365283,8.999999999993543
fund total 200,"(3, 6)",94.21004200025621,0
fund total 200,"(3, 7)",107.44886943313536,17.99999999960325
fund total 200,"(3, 8)",102.54346722326254,0.9999999994424589
fund total 200,"(3, 9)",103.8058552625822,6.0
fund total 200,"(4, 0)",88.84526131919574,8.999999999992292
fund total 200,"(4, 1)",83.0579191268867,22.999999999990127
fund total 200,"(4, 2)",103.7670110058471,19.99999998506335
fund total 200,"(4, 3)",101.96389743812486,0
fund total 200,"(4, 4)",95.2551586170425,21.9999999940231
fund total 200,"(4, 5)",96.06862035206844,21.999999999993285
fund total 200,"(4, 6)",116.39541775710067,26.99999999329143
fund total 200,"(4, 7)",93.45901097771731,5.999999936512009
fund total 200,"(4, 8)",96.87871153954259,3.999999999999972
fund total 200,"(4, 9)",90.50014370464784,23.999999998118593
fund total 200,"(5, 0)",96.29059834619457,28.999999929779438
fund total 200,"(5, 1)",113.21908744564854,25.99999999996547
fund total 200,"(5, 2)",92.71025886054015,6.999999999975263
fund total 200,"(5, 3)",100.75707129051362,0.9999999995785132
fund total 200,"(5, 4)",105.45013505163958,1.9999999999997076
fund total 200,"(5, 5)",111.2776044336415,14.999999999995834
fund total 200,"(5, 6)",90.15295727892553,19.999999999996316
fund total 200,"(5, 7)",116.87259249995944,28.999999999993978
fund total 200,"(5, 8)",105.30752288914132,20.999999993621998
