Input,Location,Funds,Payoff Extracted
fundFactors recentHits 1,"(0, 0)",23.667515907469543,10.999944051883572
fundFactors recentHits 1,"(0, 1)",86.52439134984843,27.999999777114358
fundFactors recentHits 1,"(0, 2)",34.17390805877793,20.999999923327476
fundFactors recentHits 1,"(0, 3)",16.635739591078025,17.999999999999492
fundFactors recentHits 1,"(0, 4)",37.635752116057134,26.999999177222325
fundFactors recentHits 1,"(0, 5)",45.5962532995934,21.999999920530353
fundFactors recentHits 1,"(0, 6)",68.29998985820097,3.999999999992227
fundFactors recentHits 1,"(0, 7)",40.257761349868616,0
fundFactors recentHits 1,"(0, 8)",33.194186206732,0
fundFactors recentHits 1,"(0, 9)",66.88350032479475,19.99999993327537
fundFactors recentHits 1,"(1, 0)",51.573262801970785,15.999999990127556
fundFactors recentHits 1,"(1, 1)",53.486240107480256,1.9999999999920937
fundFactors recentHits 1,"(1, 2)",36.12722099670708,11.99999998748349
fundFactors recentHits 1,"(1, 3)",67.14762295508513,5.9999999999829905
fundFactors recentHits 1,"(1, 4)",48.79489005887187,29.99999999792994
fundFactors recentHits 1,"(1, 5)",45.43882094435406,26.999999999995797
fundFactors recentHits 1,"(1, 6)",32.946869178490154,29.999999935208145
fundFactors recentHits 1,"(1, 7)",30.16949437767201,13.999999999969512
fundFactors recentHits 1,"(1, 8)",49.112112996729365,21.99999999998411
fundFactors recentHits 1,"(1, 9)",35.23401463050554,16.99999999999167
fundFactors recentHits 1,"(2, 0)",41.72174162406777,25.99999829944855
fundFactors recentHits 1,"(2, 1)",82.97019006080757,26.99999999999999
fundFactors recentHits 1,"(2, 2)",70.87019796112436,22.999999999999957
fundFactors recentHits 1,"(2, 3)",39.92650135073705,21.999999999734676
fundFactors recentHits 1,"(2, 4)",31.67407893005726,3.9999999964444863
fundFactors recentHits 1,"(2, 5)",48.36576137280148,16.999999999999776
fundFactors recentHits 1,"(2, 6)",24.242600515697436,4.9999969822127275
fundFactors recentHits 1,"(2, 7)",47.91497645351478,23.999999729468065
fundFactors recentHits 1,"(2, 8)",53.60199654810859,12.999999999410319
fundFactors recentHits 1,"(2, 9)",33.479388007545914,10.999995982579133
fundFactors recentHits 1,"(3, 0)",62.901255695291425,17.999999999522473
fundFactors recentHits 1,"(3, 1)",42.376986494799645,19.99999997969775
fundFactors recentHits 1,"(3, 2)",81.53806722647143,13.9999999861382
fundFactors recentHits 1,"(3, 3)",96.17571106744226,27.999999998304244
fundFactors recentHits 1,"(3, 4)",55.87985477005335,18.999999997622446
fundFactors recentHits 1,"(3, 5)",31.703662121829588,7.99999999084474
fundFactors recentHits 1,"(3, 6)",56.24980972320017,18.9999999999995
fundFactors recentHits 1,"(3, 7)",34.691800083994096,17.999976852787274
fundFactors recentHits 1,"(3, 8)",47.337216880084355,5.999999999999037
fundFactors recentHits 1,"(3, 9)",24.18054363307762,21.999998412962434
fundFactors recentHits 1,"(4, 0)",40.75846814152434,6.999999999626066
fundFactors recentHits 1,"(4, 1)",43.76539129977367,12.999999989348995
fundFactors recentHits 1,"(4, 2)",80.05293678045007,19.999999998865427
fundFactors recentHits 1,"(4, 3)",52.64549669723397,19.99999999997363
