Input,Location,Funds,Payoff Extracted
fundFactors totalHits 1,"(0, 0)",46.84904117297675,14.999999999991001
fundFactors totalHits 1,"(0, 1)",86.93212876685477,3.9999999996169695
fundFactors totalHits 1,"(0, 2)",22.264099147511764,0
fundFactors totalHits 1,"(0, 3)",186.8709793095603,14.999999999906015
fundFactors totalHits 1,"(0, 4)",34.01072827676931,0.9999999883781433
fundFactors totalHits 1,"(0, 5)",18.902484808196427,26.999999939600084
fundFactors totalHits 1,"(0, 6)",25.603023796201793,14.999999999280975
fundFactors totalHits 1,"(0, 7)",18.54507693523842,13.999999998329653
fundFactors totalHits 1,"(0, 8)",31.26773316002318,21.999999999291273
fundFactors totalHits 1,"(0, 9)",46.57950504068584,27.999999964188042
fundFactors totalHits 1,"(1, 0)",45.561144690801065,0
fundFactors totalHits 1,"(1, 1)",14.17334075913455,4.999999983051657
fundFactors totalHits 1,"(1, 2)",34.606348844151874,23.999999999998888
fundFactors totalHits 1,"(1, 3)",37.251862278016,14.999999993296262
fundFactors totalHits 1,"(1, 4)",80.6874328421696,19.999999999978975
fundFactors totalHits 1,"(1, 5)",40.25208444064879,18.999999996157758
fundFactors totalHits 1,"(1, 6)",43.25385235462318,8.999999593171202
fundFactors totalHits 1,"(1, 7)",41.93907118627608,21.999999999994042
fundFactors totalHits 1,"(1, 8)",18.249298937782793,15.999999999999654
fundFactors totalHits 1,"(1, 9)",33.99256261265695,15.999999972809777
fundFactors totalHits 1,"(2, 0)",83.63338223791736,5.999999999999994
fundFactors totalHits 1,"(2, 1)",40.296306782344956,5.999999982124662
fundFactors totalHits 1,"(2, 2)",29.47881318120251,24.999999991946257
fundFactors totalHits 1,"(2, 3)",47.50781024466342,4.999999999999456
fundFactors totalHits 1,"(2, 4)",46.43210189180888,5.999999902620674
fundFactors totalHits 1,"(2, 5)",25.80194776602114,2.999999999999842
fundFactors totalHits 1,"(2, 6)",23.41201082456808,12.999995073777235
fundFactors totalHits 1,"(2, 7)",97.05213300793652,17.999999999999932
fundFactors totalHits 1,"(2, 8)",4.828157685281415,12.999998425575939
fundFactors totalHits 1,"(2, 9)",45.28033597882043,9.999999999808125
fundFactors totalHits 1,"(3, 0)",62.477080444805516,22.999999999991974
fundFactors totalHits 1,"(3, 1)",25.14658942248841,11.999999999984498
fundFactors totalHits 1,"(3, 2)",78.41998042172668,29.999999998424865
fundFactors totalHits 1,"(3, 3)",39.99524829632591,25.999995091090618
fundFactors totalHits 1,"(3, 4)",27.705480548346916,27.999999994712145
fundFactors totalHits 1,"(3, 5)",165.49809722664517,0.9999999999999412
fundFactors totalHits 1,"(3, 6)",121.12384698788581,7.999999999954731
fundFactors totalHits 1,"(3, 7)",88.58723471144623,7.999999999942048
