Input,Location,Funds,Payoff Extracted
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 0)",17.035889445364205,0.9015559582537093
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 1)",17.409559918259326,27.99991037021126
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 2)",16.304476584798664,24.13068445308064
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 3)",17.081706704514374,22.658747052469728
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 4)",17.081706704514374,29.47311269965523
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 5)",17.926518125558484,24.753963397659657
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 6)",17.081706704514374,0
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 7)",16.754011744000938,0.5958414469455939
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 8)",17.081706704514374,0
"scientistIncentives funding 1, fundFactors starFactor 1","(0, 9)",17.083444784162886,11.270461197541138
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 0)",17.081706704514374,1.864624149980253
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 1)",19.901847296245155,5.989808360124199
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 2)",17.081706704514374,19.992261581050776
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 3)",16.31226181176728,0.5446678451477958
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 4)",16.444285186755653,1.0879894431837065
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 5)",168.9042623908773,26.0
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 6)",17.089873093153525,20.915376711629836
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 7)",17.081377467077324,19.369290188422987
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 8)",17.081706704514374,1.4643332029858764
"scientistIncentives funding 1, fundFactors starFactor 1","(1, 9)",17.081706704514374,2.796499349351322
"scientistIncentives funding 1, fundFactors starFactor 1","(2, 0)",17.081706704514374,7.063324671401865
"scientistIncentives funding 1, fundFactors starFactor 1","(2, 1)",17.081706704514374,0
"scientistIncentives funding 1, fundFactors starFactor 1","(2, 2)",16.53053843200445,1.9747825806621444
"scientistIncentives funding 1, fundFactors starFactor 1","(2, 3)",17.081706704514374,16.090757294046544
"scientistIncentives funding 1, fundFactors starFactor 1","(2, 4)",17.081706704514374,3.46760595226535
"scientistIncentives funding 1, fundFactors starFactor 1","(2, 5)",18.567820304043245,18.681326231185878
"scientistIncentives funding 1, fundFactors starFactor 1","(2, 6)",17.081706704514374,9.91476876237648
"scientistIncentives funding 1, fundFactors starFactor 1","(2, 7)",17.081706704514374,16.461693808762487
