Input,Location,Funds,Payoff Extracted
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 0)",3.0822925701673043,3.493105041258347
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 1)",0.910336086412601,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 2)",1121.1896522899924,30.0
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 3)",0.5957969169933838,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 4)",1.236344563378317,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 5)",510.861367869231,23.0
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 6)",1.9225134260995203,0.9621711222986489
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 7)",0.14614831586507332,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 8)",1.819373722415889,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(0, 9)",1.0225583952037431,1.0487657658270406
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 0)",1.4622797044510862,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 1)",0.06632438478422935,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 2)",0.12831464881092122,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 3)",1.7911469692890956,0.5159413550239278
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 4)",1.372044850901028,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 5)",0.05900409416376795,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 6)",1.2899936844368807,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 7)",1.3793743392861908,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 8)",0.32440573456899435,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(1, 9)",4.30811284492861,3.895283584111625
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 0)",9.13423260869111,5.783897128021895
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 1)",1.1058682651323832,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 2)",21.673890636534352,7.785238429463391
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 3)",0.11327387277964779,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 4)",0.9578108812296535,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 5)",4.283909967603448,4.077649284539538
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 6)",1.5045237384169956,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 7)",1.1529393074173349,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 8)",0.34613997208806224,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(2, 9)",1.0730553094106308,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 0)",0.01677662976612209,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 1)",0.5695942910000356,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 2)",0.08543916541772047,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 3)",0.43301853615340563,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 4)",1.4364583135046431,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 5)",0.048976829193458124,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 6)",0.9911266689564034,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 7)",1.7476408971535164,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 8)",0.5646735462666838,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(3, 9)",2.0851758111084657,1.6703236841184985
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 0)",1.0739847681373045,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 1)",1.200830842040266,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 2)",1.1329746565539915,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 3)",0.2032351941005013,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 4)",1.5555833765144933,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 5)",0.36483068973528143,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 6)",19.714818823027514,7.548852507143621
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 7)",1.2487188389835402,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 8)",0.5237903618816365,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(4, 9)",0.3322592374935303,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(5, 0)",0.5179468446490793,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(5, 1)",3.376818099193681,3.46879158242492
"scientistIncentives funding 1, fundFactors visPayoff 1","(5, 2)",0.6022772923766117,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(5, 3)",0.18825585504685294,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(5, 4)",2.101031881009041,1.7714530744488248
"scientistIncentives funding 1, fundFactors visPayoff 1","(5, 5)",0.2222427409636326,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(5, 6)",0.017686068433486364,0
"scientistIncentives funding 1, fundFactors visPayoff 1","(5, 7)",0.025173645346074115,0
