Input,Location,Funds,Payoff Extracted
scientistIncentives citation 0.4,"(0, 0)",52.18454163052434,9.192251067002626
scientistIncentives citation 0.4,"(0, 1)",48.729186793939505,0
scientistIncentives citation 0.4,"(0, 2)",54.81199568375113,7.965291125034647
scientistIncentives citation 0.4,"(0, 3)",55.22162217516877,0
scientistIncentives citation 0.4,"(0, 4)",48.344811368925164,0
scientistIncentives citation 0.4,"(0, 5)",41.19087518570689,0
scientistIncentives citation 0.4,"(0, 6)",54.18715865973482,2.222800115652971
scientistIncentives citation 0.4,"(0, 7)",51.62438136899858,9.43901198774244
scientistIncentives citation 0.4,"(0, 8)",47.72848444054131,0
scientistIncentives citation 0.4,"(0, 9)",49.95495947461923,0
scientistIncentives citation 0.4,"(1, 0)",49.26320108712135,14.190602449650351
scientistIncentives citation 0.4,"(1, 1)",42.29558783260022,19.909397463556914
scientistIncentives citation 0.4,"(1, 2)",50.48043740248571,0
scientistIncentives citation 0.4,"(1, 3)",52.04959042580581,0
scientistIncentives citation 0.4,"(1, 4)",44.08505074982637,0
scientistIncentives citation 0.4,"(1, 5)",43.38452397633994,0
scientistIncentives citation 0.4,"(1, 6)",48.006487291367876,0
scientistIncentives citation 0.4,"(1, 7)",50.75414205033918,1.484461783461005
scientistIncentives citation 0.4,"(1, 8)",50.06695115998234,0
scientistIncentives citation 0.4,"(1, 9)",55.09341070611234,14.712418300352793
scientistIncentives citation 0.4,"(2, 0)",48.32972230692515,0
scientistIncentives citation 0.4,"(2, 1)",57.07392878525419,24.700334283512163
scientistIncentives citation 0.4,"(2, 2)",50.15701441359657,0
scientistIncentives citation 0.4,"(2, 3)",55.26418676549745,0
scientistIncentives citation 0.4,"(2, 4)",43.076951040218276,0
scientistIncentives citation 0.4,"(2, 5)",49.34684084709223,7.90223725196636
scientistIncentives citation 0.4,"(2, 6)",47.30011798969287,0
scientistIncentives citation 0.4,"(2, 7)",44.320995506635604,0
scientistIncentives citation 0.4,"(2, 8)",50.26150860452533,0
scientistIncentives citation 0.4,"(2, 9)",56.70101029708073,13.564572828350954
scientistIncentives citation 0.4,"(3, 0)",48.62126866602838,10.953176332165345
scientistIncentives citation 0.4,"(3, 1)",56.34435137376245,0
scientistIncentives citation 0.4,"(3, 2)",45.01182611248789,8.745734683620235
scientistIncentives citation 0.4,"(3, 3)",51.26022269616217,16.58222947543404
scientistIncentives citation 0.4,"(3, 4)",49.396960153089914,0
