Input,Location,Funds,Payoff Extracted
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 0)",499.2377388859723,0
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 1)",471.0635494497092,6.86393861383778
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 2)",521.7466521210596,7.164090002158306
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 3)",548.7821575431382,10.714312980690211
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 4)",500.64370459366074,1.9058522820197554
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 5)",498.00474701277557,27.0
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 6)",487.44399044742784,0
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 7)",469.501643756655,3.54356508802584
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 8)",564.7487813229496,20.0
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(0, 9)",485.290449889302,0.1710770673565548
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(1, 0)",448.56259770556693,19.99999999999996
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(1, 1)",541.9166476809745,10.987950973645777
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(1, 2)",483.00873060444934,25.0
"scientistIncentives exploration 0.3, scientistIncentives citation 0.233, scientistIncentives payoff 0.233, scientistIncentives funding 0.233","(1, 3)",512.764665617718,24.0
