Input,Location,Funds,Payoff Extracted
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 0)",544.7600287058999,4.315452542866986
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 1)",421.4230722035402,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 2)",597.3641624002379,26.0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 3)",466.8929040530265,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 4)",453.2089369442131,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 5)",486.11098863837947,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 6)",442.8747880145607,12.999999999490324
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 7)",544.8233476176282,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 8)",501.8589326684793,1.8346717155943935
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(0, 9)",392.52499517271025,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 0)",565.627252501139,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 1)",420.49346709053094,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 2)",448.1314961820385,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 3)",506.1859515990008,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 4)",506.3267060838622,14.999999999999979
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 5)",556.2962982907728,8.99995321331345
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 6)",476.85715784841733,4.344034622005843
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 7)",549.9276213155122,0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 8)",600.6323054118195,15.0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(1, 9)",514.7309234236031,17.99999999999979
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(2, 0)",417.45522903587363,23.0
"scientistIncentives funding 0, scientistIncentives citation 0.33, scientistIncentives payoff 0.33, scientistIncentives exploration 0.33","(2, 1)",480.64895017998094,30.0
