Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives payoff 0.4,0,5,-0.7999999999999998,14
scientistIncentives payoff 0.4,2,8,-0.3333333333333335,3
scientistIncentives payoff 0.4,6,6,-0.6000000000000001,4
scientistIncentives payoff 0.4,8,1,-1.5714285714285714,6
scientistIncentives payoff 0.4,11,3,2.0,9
scientistIncentives payoff 0.4,16,5,0.20000000000000018,6
scientistIncentives payoff 0.4,18,8,6.5,7
scientistIncentives payoff 0.4,22,1,-1.2,8
scientistIncentives payoff 0.4,28,8,-1.1111111111111112,10
scientistIncentives payoff 0.4,30,9,-0.7142857142857144,14
scientistIncentives payoff 0.4,32,1,-1.1,8
scientistIncentives payoff 0.4,34,1,0.75,7
scientistIncentives payoff 0.4,36,4,2.333333333333333,5
scientistIncentives payoff 0.4,40,3,-0.7857142857142856,11
scientistIncentives payoff 0.4,42,3,2.5,6
scientistIncentives payoff 0.4,46,10,-0.16666666666666652,12
scientistIncentives payoff 0.4,48,7,-0.6666666666666665,5
scientistIncentives payoff 0.4,50,8,-0.4285714285714284,5
scientistIncentives payoff 0.4,53,10,-1.5555555555555556,2
scientistIncentives payoff 0.4,56,9,0.0,13
scientistIncentives payoff 0.4,62,4,-1.1,2
scientistIncentives payoff 0.4,64,2,1.666666666666667,6
scientistIncentives payoff 0.4,66,6,-1.3333333333333333,1
scientistIncentives payoff 0.4,68,6,5.0,8
scientistIncentives payoff 0.4,70,6,3.333333333333333,7
scientistIncentives payoff 0.4,72,5,-0.3333333333333335,10
scientistIncentives payoff 0.4,74,4,0.0,9
scientistIncentives payoff 0.4,76,10,23.0,11
scientistIncentives payoff 0.4,1,0,-0.5714285714285716,7
scientistIncentives payoff 0.4,9,0,2.0,1
scientistIncentives payoff 0.4,14,27.745590459882617,-0.4612796271381039,26
scientistIncentives payoff 0.4,23,5,-0.5714285714285716,11
scientistIncentives payoff 0.4,27,32.45275436950936,-0.5857648834884697,22
scientistIncentives payoff 0.4,31,4,16.0,5
scientistIncentives payoff 0.4,41,3,-1.0,9
scientistIncentives payoff 0.4,57,7,-0.20000000000000018,13
scientistIncentives payoff 0.4,63,3,-1.375,7
scientistIncentives payoff 0.4,69,7,-1.7058823529411764,7
scientistIncentives payoff 0.4,75,4,9.0,6
scientistIncentives payoff 0.4,78,7,1.5,7
scientistIncentives payoff 0.4,82,0,-1.8181818181818181,8
scientistIncentives payoff 0.4,87,4,-1.6923076923076923,6
scientistIncentives payoff 0.4,89,9,-1.7,2
scientistIncentives payoff 0.4,4,9.099213178400625,-0.847643160137785,25
scientistIncentives payoff 0.4,10,23.417733555729694,-0.5399971134894592,24
scientistIncentives payoff 0.4,17,26.21553470565304,-0.1979152273571625,21
scientistIncentives payoff 0.4,29,3,3.0,3
scientistIncentives payoff 0.4,39,9.390843345330506,-0.7136314875871976,9
scientistIncentives payoff 0.4,52,29.966665474483726,-0.1461918319062172,26
scientistIncentives payoff 0.4,71,4,-0.5,6
scientistIncentives payoff 0.4,79,4,-1.0833333333333333,5
scientistIncentives payoff 0.4,88,2,0.0,2
scientistIncentives payoff 0.4,93,2,-1.0,1
scientistIncentives payoff 0.4,95,1,-1.6363636363636365,10
scientistIncentives payoff 0.4,98,4,-0.3999999999999999,2
scientistIncentives payoff 0.4,102,7,-0.4285714285714284,8
scientistIncentives payoff 0.4,105,3,-0.5,4
scientistIncentives payoff 0.4,5,28.769360353465068,0.14813948855383208,30
scientistIncentives payoff 0.4,33,7,0.22222222222222232,13
scientistIncentives payoff 0.4,43,7,1.5,5
scientistIncentives payoff 0.4,59,9.192893118153462,-0.5391779121018945,14
scientistIncentives payoff 0.4,67,26.235416422617405,-0.4970431723911797,24
scientistIncentives payoff 0.4,91,9.237074679155484,-0.6983799470437959,26
scientistIncentives payoff 0.4,99,3,-1.9090909090909092,1
scientistIncentives payoff 0.4,109,7,0.75,5
scientistIncentives payoff 0.4,113,7,0.16666666666666652,4
scientistIncentives payoff 0.4,115,5,1.0,9
scientistIncentives payoff 0.4,25,15.030019757893097,-0.3199963390771985,34
scientistIncentives payoff 0.4,90,30.061457385918448,0.06652108270784307,37
scientistIncentives payoff 0.4,110,2,8.0,8
scientistIncentives payoff 0.4,116,8,-1.625,2
