Input,Location,Funds,Payoff Extracted
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 0)",521.6130562730167,9.172603338799455
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 1)",488.2537129507,9.191934168204876
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 2)",432.96155779358907,18.99999953039576
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 3)",504.6644452242394,7.998487978560404
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 4)",441.9461780023037,25.999999109604914
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 5)",498.75648261383066,5.421699528970896
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 6)",468.0721541898926,28.0
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 7)",459.87187779939535,10.999285649893924
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 8)",534.2305023031623,5.900903915049794
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(0, 9)",508.730025919767,8.996547255356708
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(1, 0)",488.9727629530251,26.0
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(1, 1)",514.8168536701152,15.999999999986965
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(1, 2)",436.0633294051007,14.999947210633406
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(1, 3)",498.91820941264837,16.999999997033605
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(1, 4)",503.8463531250256,9.952809685859265
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(1, 5)",450.0087928919455,4.910573917151491
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(1, 6)",523.0166825709563,16.996936474231976
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(1, 7)",480.3444031841525,27.0
"scientistIncentives exploration 0.5, scientistIncentives citation 0.167, scientistIncentives payoff 0.167, scientistIncentives funding 0.167","(1, 8)",479.3241580158406,22.0
