Input,Location,Funds,Payoff Extracted
scientistIncentives citation 1,"(0, 0)",54.627261880163786,19.95581277248031
scientistIncentives citation 1,"(0, 1)",55.2247101497547,0
scientistIncentives citation 1,"(0, 2)",54.22545041415555,2.480899755267926
scientistIncentives citation 1,"(0, 3)",55.239699947309184,0
scientistIncentives citation 1,"(0, 4)",50.22699781444657,12.659899824040961
scientistIncentives citation 1,"(0, 5)",44.574991593666226,0
scientistIncentives citation 1,"(0, 6)",53.895839091658196,0
scientistIncentives citation 1,"(0, 7)",49.000336402253254,0
scientistIncentives citation 1,"(0, 8)",47.735458653247576,0
scientistIncentives citation 1,"(0, 9)",48.459004752352286,0
scientistIncentives citation 1,"(1, 0)",52.23062690260873,6.455683032150953
scientistIncentives citation 1,"(1, 1)",47.997949055642714,0
scientistIncentives citation 1,"(1, 2)",55.840677985563644,18.811773775379148
scientistIncentives citation 1,"(1, 3)",50.344679442770335,0
scientistIncentives citation 1,"(1, 4)",48.358624927956946,11.20927626773642
scientistIncentives citation 1,"(1, 5)",56.563560076798396,2.139239233380689
scientistIncentives citation 1,"(1, 6)",54.606910805858,0
scientistIncentives citation 1,"(1, 7)",56.447358825805416,0
scientistIncentives citation 1,"(1, 8)",48.512215468364616,4.0508463954563645
scientistIncentives citation 1,"(1, 9)",47.661648881668086,0
scientistIncentives citation 1,"(2, 0)",45.42577302066077,14.280443034064616
scientistIncentives citation 1,"(2, 1)",48.999475815862425,0
scientistIncentives citation 1,"(2, 2)",54.94525890323258,0
scientistIncentives citation 1,"(2, 3)",48.461837449198555,0.9992284121631381
scientistIncentives citation 1,"(2, 4)",48.57284274745497,3.0994051338289657
scientistIncentives citation 1,"(2, 5)",44.9733432754113,0
scientistIncentives citation 1,"(2, 6)",50.663396046990506,0
scientistIncentives citation 1,"(2, 7)",44.536287083287164,25.690578107356746
scientistIncentives citation 1,"(2, 8)",44.85982505744512,1.261434124875992
scientistIncentives citation 1,"(2, 9)",57.62976530207994,0
scientistIncentives citation 1,"(3, 0)",48.59917180039113,21.429121723762428
scientistIncentives citation 1,"(3, 1)",50.33370194066384,0
scientistIncentives citation 1,"(3, 2)",46.60416177307433,13.787249345444206
scientistIncentives citation 1,"(3, 3)",44.48341454797958,1.7458563720279443
scientistIncentives citation 1,"(3, 4)",48.444746424507215,16.0
scientistIncentives citation 1,"(3, 5)",56.614699255686666,0
scientistIncentives citation 1,"(3, 6)",49.373814617760495,0
scientistIncentives citation 1,"(3, 7)",49.48853495676828,0
scientistIncentives citation 1,"(3, 8)",50.34740052096877,4.141516918793427
scientistIncentives citation 1,"(3, 9)",46.065914598260676,0
scientistIncentives citation 1,"(4, 0)",56.39787738944173,0
scientistIncentives citation 1,"(4, 1)",42.6279926546145,0
scientistIncentives citation 1,"(4, 2)",50.440536594042335,8.998106997553815
scientistIncentives citation 1,"(4, 3)",51.24742416614271,0
scientistIncentives citation 1,"(4, 4)",44.99490379569742,0
scientistIncentives citation 1,"(4, 5)",44.87476230718409,0
scientistIncentives citation 1,"(4, 6)",43.529935672776745,0
scientistIncentives citation 1,"(4, 7)",53.469774286807464,4.005193918233246
scientistIncentives citation 1,"(4, 8)",57.29240579368997,5.695710030778021
scientistIncentives citation 1,"(4, 9)",49.2972510950386,0
scientistIncentives citation 1,"(5, 0)",51.32154194024905,4.7803510239032905
scientistIncentives citation 1,"(5, 1)",43.73769230200654,0
scientistIncentives citation 1,"(5, 2)",53.67081713909657,19.450030998423653
scientistIncentives citation 1,"(5, 3)",45.292691084912484,0
scientistIncentives citation 1,"(5, 4)",53.6141016809318,1.4788143716383813
scientistIncentives citation 1,"(5, 5)",54.531967054035874,0
scientistIncentives citation 1,"(5, 6)",51.52318524679023,6.362670509655607
scientistIncentives citation 1,"(5, 7)",53.074252403272354,8.201482903264358
scientistIncentives citation 1,"(5, 8)",51.1469274652702,0
scientistIncentives citation 1,"(5, 9)",55.5605245743262,10.223157644781375
scientistIncentives citation 1,"(6, 0)",50.914405783723566,0
scientistIncentives citation 1,"(6, 1)",44.023675454504776,6.663523503456422
scientistIncentives citation 1,"(6, 2)",46.74915152362155,23.0
scientistIncentives citation 1,"(6, 3)",50.30303847695764,0
scientistIncentives citation 1,"(6, 4)",43.98923406997981,0
scientistIncentives citation 1,"(6, 5)",45.41770110296625,0.9142122968629791
scientistIncentives citation 1,"(6, 6)",41.221832959355574,0
