Input,Location,Funds,Payoff Extracted,Remaining Payoff,Total Payoff
scientistIncentives citation 1,"(0, 0)",1.8600379880104182e-39,0,3,3
scientistIncentives citation 1,"(0, 1)",1.8600379880104182e-39,0,0.0012621148442143735,29
scientistIncentives citation 1,"(0, 2)",1.8600379880104182e-39,0,13,0
scientistIncentives citation 1,"(0, 3)",1.8600379880104182e-39,27.31158648173715,2.192826910117111,30
scientistIncentives citation 1,"(0, 4)",1.8600379880104182e-39,0,6.383795404864884,10
scientistIncentives citation 1,"(0, 5)",1.8600379880104182e-39,1.9370513173665271,3.8021068906801463,5
scientistIncentives citation 1,"(0, 6)",1.8600379880104182e-39,0,22.95949861880943,27
scientistIncentives citation 1,"(0, 7)",1.8600379880104182e-39,24.350673305032117,7.69476723717599,26
scientistIncentives citation 1,"(0, 8)",1.8600379880104182e-39,0,7.732619756505341,15
scientistIncentives citation 1,"(0, 9)",1.8600379880104182e-39,21.107597518554456,7,22
scientistIncentives citation 1,"(1, 0)",1.8600379880104182e-39,10.998737885155785,29,11
scientistIncentives citation 1,"(1, 1)",1.8600379880104182e-39,0,5,5
scientistIncentives citation 1,"(1, 2)",1.8600379880104182e-39,27.892208258253707,0.42260016479325385,28
scientistIncentives citation 1,"(1, 3)",1.8600379880104182e-39,0,0,14
scientistIncentives citation 1,"(1, 4)",1.8600379880104182e-39,0,13,0
scientistIncentives citation 1,"(1, 5)",1.8600379880104182e-39,0,0.08978357311371388,19
scientistIncentives citation 1,"(1, 6)",1.8600379880104182e-39,0,0.051556778906610035,0
scientistIncentives citation 1,"(1, 7)",1.8600379880104182e-39,8.449928119845685,29,10
scientistIncentives citation 1,"(1, 8)",1.8600379880104182e-39,0.7181086178084668,1.182667219230761,2
scientistIncentives citation 1,"(1, 9)",1.8600379880104182e-39,0,1.453977112125655,20
scientistIncentives citation 1,"(2, 0)",1.8600379880104182e-39,0,0,13
scientistIncentives citation 1,"(2, 1)",1.8600379880104182e-39,12.577399835206746,0.10779174174629326,13
scientistIncentives citation 1,"(2, 2)",1.8600379880104182e-39,0,8,8
scientistIncentives citation 1,"(2, 3)",1.8600379880104182e-39,8.176838172061881,2.2988319038573684,16
scientistIncentives citation 1,"(2, 4)",1.8600379880104182e-39,12.33530275160087,19.499236054058102,13
scientistIncentives citation 1,"(2, 5)",1.8600379880104182e-39,17.571014846197272,0,20
scientistIncentives citation 1,"(2, 6)",1.8600379880104182e-39,14.59288429006518,3.900641485520903,19
scientistIncentives citation 1,"(2, 7)",1.8600379880104182e-39,0,3,19
scientistIncentives citation 1,"(2, 8)",1.8600379880104182e-39,4.9967000201323115,1.3075350286928282,5
scientistIncentives citation 1,"(2, 9)",1.8600379880104182e-39,0,4,0
scientistIncentives citation 1,"(3, 0)",1.8600379880104182e-39,2.807173089882889,2.688413518262849,5
scientistIncentives citation 1,"(3, 1)",1.8600379880104182e-39,0,14,0
scientistIncentives citation 1,"(3, 2)",1.8600379880104182e-39,2.7011680961426316,7.823161827938119,5
scientistIncentives citation 1,"(3, 3)",1.8600379880104182e-39,5.3782654288381115,5.6217345711618885,11
scientistIncentives citation 1,"(3, 4)",1.8600379880104182e-39,25.93088879493375,25,26
scientistIncentives citation 1,"(3, 5)",1.8600379880104182e-39,0,10,8
scientistIncentives citation 1,"(3, 6)",1.8600379880104182e-39,6.367685613005204,16.964729280202505,9
scientistIncentives citation 1,"(3, 7)",1.8600379880104182e-39,0,16,12
scientistIncentives citation 1,"(3, 8)",1.8600379880104182e-39,21.423496014397163,7,28
scientistIncentives citation 1,"(3, 9)",1.8600379880104182e-39,0,0.3388180086499808,11
scientistIncentives citation 1,"(4, 0)",1.8600379880104182e-39,4.616204595135116,10,11
scientistIncentives citation 1,"(4, 1)",1.8600379880104182e-39,0,0,13
