Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives citation 1,2,4,6.0,2
scientistIncentives citation 1,6,4,0.0,4
scientistIncentives citation 1,7,2,3.5,6
scientistIncentives citation 1,8,8,-1.75,1
scientistIncentives citation 1,9,1,-1.0,4
scientistIncentives citation 1,11,3,3.0,4
scientistIncentives citation 1,13,10,0.0,4
scientistIncentives citation 1,14,3,-1.375,6
scientistIncentives citation 1,15,4,-1.1428571428571428,5
scientistIncentives citation 1,16,10,12.0,1
scientistIncentives citation 1,17,10,-0.6000000000000001,23
scientistIncentives citation 1,19,5,2.666666666666667,5
scientistIncentives citation 1,21,1,-1.8333333333333333,2
scientistIncentives citation 1,26,1,-1.4,1
scientistIncentives citation 1,28,5,-0.9166666666666665,7
scientistIncentives citation 1,29,7,2.666666666666667,6
scientistIncentives citation 1,31,2,-1.5,1
scientistIncentives citation 1,33,0,6.0,1
scientistIncentives citation 1,38,8,5.5,3
scientistIncentives citation 1,39,4,-1.0714285714285714,5
scientistIncentives citation 1,42,0,-0.7999999999999998,3
scientistIncentives citation 1,46,1,8.0,1
scientistIncentives citation 1,48,3,19.0,11
scientistIncentives citation 1,49,8,-0.11111111111111116,7
scientistIncentives citation 1,4,10.0,-0.5784394940771573,7
scientistIncentives citation 1,51,2,1.0,3
scientistIncentives citation 1,52,3,5.0,3
scientistIncentives citation 1,53,6,-0.7999999999999998,16
scientistIncentives citation 1,12,10.0,-0.18113034801749617,19
scientistIncentives citation 1,58,9,-0.2999999999999998,8
scientistIncentives citation 1,60,4,2.666666666666667,8
scientistIncentives citation 1,61,5,-0.6666666666666665,5
scientistIncentives citation 1,67,4,-0.20000000000000018,4
scientistIncentives citation 1,70,7,-0.16666666666666652,6
scientistIncentives citation 1,45,31.0,0.04774788904850258,27
scientistIncentives citation 1,73,8,-1.0,7
scientistIncentives citation 1,74,8,-1.5,6
scientistIncentives citation 1,5,10.0,-0.4680852682480934,9
scientistIncentives citation 1,75,2,-0.3846153846153846,16
scientistIncentives citation 1,79,10,-0.5384615384615383,12
scientistIncentives citation 1,22,10.0,-0.8398854526614117,6
scientistIncentives citation 1,24,18.0,-0.283019220888002,20
scientistIncentives citation 1,82,6,0.20000000000000018,13
scientistIncentives citation 1,40,25.0,-0.8152841739023864,19
scientistIncentives citation 1,85,7,4.333333333333333,8
scientistIncentives citation 1,0,14.0,-0.5774242063988906,28
scientistIncentives citation 1,3,10.0,0.12262860859755831,37
scientistIncentives citation 1,88,9,-0.5,3
scientistIncentives citation 1,78,26.0,-0.4516038672592715,23
scientistIncentives citation 1,65,10.0,0.08556534928186466,32
scientistIncentives citation 1,32,10.0,-0.2337202065748638,24
scientistIncentives citation 1,43,10.0,-0.6892645811659093,11
scientistIncentives citation 1,95,9,-0.7999999999999998,12
scientistIncentives citation 1,1,10.0,-0.023192138290072606,33
scientistIncentives citation 1,96,3,-2.0,1
scientistIncentives citation 1,98,5,-0.5454545454545454,9
scientistIncentives citation 1,62,14.0,0.5705544643585845,48
scientistIncentives citation 1,66,10.0,1.4162622046071114,32
scientistIncentives citation 1,37,10.0,0.8709563981567761,30
scientistIncentives citation 1,69,20.0,0.04644076352472748,47
scientistIncentives citation 1,101,6,-0.5,4
scientistIncentives citation 1,44,12.0,-0.2425264239514302,31
scientistIncentives citation 1,84,30.0,0.2460261185169288,38
scientistIncentives citation 1,72,21.0,0.1658834831616689,59
scientistIncentives citation 1,103,7,-0.8666666666666667,14
scientistIncentives citation 1,86,10.0,48.07692307692308,648
scientistIncentives citation 1,76,10.0,0.3339301174871454,24
scientistIncentives citation 1,10,10.0,0.21107520121958245,48
scientistIncentives citation 1,105,8,0.0,9
scientistIncentives citation 1,20,24.0,0.756245267486626,63
scientistIncentives citation 1,63,26.0,0.2625189103742933,56
scientistIncentives citation 1,30,10.0,0.08919382773063411,35
scientistIncentives citation 1,107,5,-1.4,10
scientistIncentives citation 1,35,10.0,0.12399545796820544,51
scientistIncentives citation 1,109,8,2.333333333333333,4
scientistIncentives citation 1,83,25.0,0.6136461249545833,61
scientistIncentives citation 1,110,2,-1.3333333333333333,11
scientistIncentives citation 1,114,9,17.0,9
scientistIncentives citation 1,115,5,0.0,3
scientistIncentives citation 1,97,10.0,-0.5,26
scientistIncentives citation 1,116,4,-0.3333333333333335,6
scientistIncentives citation 1,117,6,-1.5555555555555556,1
scientistIncentives citation 1,119,3,2.5,4
scientistIncentives citation 1,25,15.0,0.2032278237450531,51
scientistIncentives citation 1,120,3,-0.7777777777777777,10
scientistIncentives citation 1,27,10.0,-0.5344139230602436,44
scientistIncentives citation 1,121,5,-1.6666666666666667,3
scientistIncentives citation 1,126,5,-1.3846153846153846,9
scientistIncentives citation 1,113,10.0,-1.2,2
scientistIncentives citation 1,94,10.0,-0.1428571428571428,29
scientistIncentives citation 1,102,10.0,-0.3529411764705883,19
scientistIncentives citation 1,127,10,18.0,4
scientistIncentives citation 1,130,7,-0.2857142857142856,9
scientistIncentives citation 1,131,7,-1.3333333333333333,3
scientistIncentives citation 1,55,10.0,0.021661815176192256,53
scientistIncentives citation 1,57,10.0,0.7734320502348222,63
scientistIncentives citation 1,59,16.0,0.0761286357664459,52
scientistIncentives citation 1,18,15.0,-0.08486230555070673,52
scientistIncentives citation 1,81,10.0,-0.1363331962283394,42
scientistIncentives citation 1,23,10.0,2.9982826372710942,111
scientistIncentives citation 1,133,5,-1.6,11
scientistIncentives citation 1,134,8,13.0,4
scientistIncentives citation 1,64,10.0,0.3491773492392971,58
scientistIncentives citation 1,92,10.0,-0.5625,27
scientistIncentives citation 1,108,10.0,-1.1363636363636365,16
scientistIncentives citation 1,68,10.0,0.14295431284611837,52
scientistIncentives citation 1,71,10.0,0.41749863600055903,46
scientistIncentives citation 1,47,19.0,0.492932417770382,62
scientistIncentives citation 1,139,5,-0.9333333333333331,15
scientistIncentives citation 1,140,4,-0.8999999999999999,4
scientistIncentives citation 1,142,9,-1.0,17
scientistIncentives citation 1,144,7,2.0,8
scientistIncentives citation 1,56,10.0,0.04446171070209948,46
scientistIncentives citation 1,145,3,0.20000000000000018,7
scientistIncentives citation 1,80,11.0,-0.7855891737376512,35
scientistIncentives citation 1,106,10.0,-1.3181818181818181,14
